Time of Day,Process Name,PID,Operation,Path,Source
2023-03-04 11:54:24.720,C:\WindowsAzure\GuestAgent_2.7.41491.1075_2023-03-03_013916\WindowsAzureGuestAgent.exe,3556,File Create,C:\WindowsAzure\Logs\AggregateStatus\aggregatestatus.json,EDR Log
2023-03-04 11:54:24.720,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:25.627,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:25.856,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:26.330,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:28.920,C:\Windows\System32\services.exe,784,Process Create,C:\Windows\System32\svchost.exe,EDR Log
2023-03-04 11:54:29.267,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:29.955,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,8388,File Create,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\UPR64IJ6BUSHXV1ALSOG.temp,EDR Log
2023-03-04 11:54:29.955,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,8388,File Create,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\f18460fded109990.customDestinations-ms~RF908b7a.TMP,EDR Log
2023-03-04 11:54:30.564,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
